Zone,Month,Total Readings,Discomfort Percentages,Average Values,Percent Fully Comfortable,Discomfort Score,Comfort % Change
50,5,2247,"{'Low Light': 83.08856252781487, 'High Sound': 63.684913217623496}","{'Temperature': np.float64(24.06026257231865), 'CO2': np.float64(652.2607921673342), 'Light': np.float64(98.95060080106809), 'Sound': np.float64(56.858477970627504)}",5.651980418335558,73.38673787271918,100.0
402,5,138,"{'Cold': 100.0, 'Low Sound': 2.1739130434782608}","{'Temperature': np.float64(19.996884057971013), 'CO2': np.float64(462.2173913043478), 'Light': np.float64(720.4565217391304), 'Sound': np.float64(43.03623188405797)}",0.0,51.08695652173913,
47,5,1970,"{'Low Light': 99.74619289340102, 'Low Sound': 0.10152284263959391, 'Hot': 0.3045685279187817, 'High Sound': 67.81725888324873}","{'Temperature': np.float64(23.99751269035533), 'CO2': np.float64(632.3847715736041), 'Light': np.float64(104.36345177664974), 'Sound': np.float64(58.03299492385787)}",0.050761421319796954,41.99238578680203,100.0
403,5,2923,"{'Cold': 24.46117003079028, 'Low Light': 92.67875470407117, 'High Sound': 43.619568936024635, 'High CO2': 2.6000684228532327, 'Hot': 2.7027027027027026}","{'Temperature': np.float64(21.806537803626412), 'CO2': np.float64(657.4844338008895), 'Light': np.float64(56.04618542593226), 'Sound': np.float64(53.652411905576464)}",2.155319876838864,33.2124529592884,
8,5,1124,"{'Low Light': 97.86476868327402, 'Low Sound': 0.0889679715302491, 'High Sound': 0.5338078291814947}","{'Temperature': np.float64(22.842571174377227), 'CO2': np.float64(664.8718861209965), 'Light': np.float64(130.15925266903915), 'Sound': np.float64(46.95729537366548)}",2.1352313167259784,32.829181494661924,
244,5,1065,"{'Low Light': 100.0, 'High CO2': 4.131455399061033, 'Low Sound': 0.09389671361502347, 'Hot': 0.18779342723004694, 'High Sound': 0.09389671361502347}","{'Temperature': np.float64(22.90113615023474), 'CO2': np.float64(668.0441314553991), 'Light': np.float64(3.619718309859155), 'Sound': np.float64(46.67511737089202)}",0.0,20.901408450704224,0.0
26,5,3796,"{'Low Light': 16.43835616438356, 'High Sound': 37.82929399367755, 'High Light': 0.10537407797681769}","{'Temperature': np.float64(23.86692307692308), 'CO2': np.float64(598.486301369863), 'Light': np.float64(337.21522655426764), 'Sound': np.float64(51.05742887249737)}",48.60379346680717,18.124341412012644,100.0
46,5,79,"{'Low Sound': 1.2658227848101267, 'Cold': 18.9873417721519}","{'Temperature': np.float64(21.302405063291136), 'CO2': np.float64(496.6835443037975), 'Light': np.float64(753.9367088607595), 'Sound': np.float64(43.721518987341774)}",79.74683544303798,10.126582278481013,487.67283349561836
48,5,3740,"{'High Sound': 4.705882352941177, 'Low Light': 12.165775401069519, 'High Light': 17.807486631016044, 'Low Sound': 0.08021390374331551, 'Hot': 0.7486631016042781}","{'Temperature': np.float64(23.77291176470588), 'CO2': np.float64(603.6930481283423), 'Light': np.float64(630.5066844919786), 'Sound': np.float64(49.0524064171123)}",65.8288770053476,7.101604278074866,-9.299606601916304
30,5,1788,"{'Low Light': 14.93288590604027, 'Low Sound': 0.05592841163310962, 'High Light': 0.5592841163310962}","{'Temperature': np.float64(23.637404921700224), 'CO2': np.float64(685.2701342281879), 'Light': np.float64(389.8042505592841), 'Sound': np.float64(45.73993288590604)}",84.45190156599553,5.182699478001491,477.92633579488466
52,5,2138,"{'Low Light': 7.670720299345183, 'High Light': 1.637043966323667, 'High Sound': 0.5144995322731525}","{'Temperature': np.float64(23.085523854069226), 'CO2': np.float64(634.2057998129093), 'Light': np.float64(627.6435921421889), 'Sound': np.float64(46.94948550046772)}",90.177736202058,3.2740879326473338,100.0
243,5,80,"{'Low Light': 1.25, 'Low Sound': 2.5}","{'Temperature': np.float64(21.921625), 'CO2': np.float64(494.5), 'Light': np.float64(674.925), 'Sound': np.float64(42.4625)}",97.5,1.875,
49,5,1960,"{'High Sound': 0.10204081632653061, 'High Light': 1.9387755102040816, 'Low Light': 0.5612244897959183, 'Cold': 1.1224489795918366}","{'Temperature': np.float64(22.856954081632654), 'CO2': np.float64(590.2525510204082), 'Light': np.float64(758.6678571428571), 'Sound': np.float64(46.506632653061224)}",96.27551020408163,0.9311224489795917,
51,5,1959,"{'Hot': 0.05104645227156713, 'High Light': 2.092904543134252, 'High Sound': 0.2552322613578356}","{'Temperature': np.float64(23.176743236345068), 'CO2': np.float64(632.8340990301174), 'Light': np.float64(854.8192955589586), 'Sound': np.float64(47.044410413476264)}",97.60081674323635,0.7997277522545517,93.75925688435592
27,5,2206,"{'Low Sound': 0.271985494106981, 'Hot': 0.271985494106981, 'High Light': 1.4959202175883952}","{'Temperature': np.float64(23.250661831368994), 'CO2': np.float64(634.306890299184), 'Light': np.float64(895.7747053490481), 'Sound': np.float64(44.74206708975521)}",97.96010879419764,0.6799637352674525,20.140831914653322
31,5,23,{},"{'Temperature': np.float64(22.45695652173913), 'CO2': np.float64(677.0), 'Light': np.float64(739.1739130434783), 'Sound': np.float64(46.130434782608695)}",100.0,0.0,
